ID.1,ID,Lowtag,Name,Recap,PIT_tag,Species,Year,Capture_date,Collar_start,Fate_date,Field_crew,Study_area,Latitude,Longitude,Trap.type,Sex,Age,Collar.ID,Frequency,Collar_model,DOP_type,Left_eartag,Left_color,Right_eartag,Right_color,Parasites,Body_condition,Hind_foot,Chest_girth,Body_length,biopsy,blood,Cannon_foot,Weight,Head_circ,Neck_circ,Tail_length,Ear_length_R,Ear_length_L,Left_upper_canine,Left_lower_canine,Right_upper_canine,Right_lower_canine,Samples,Nursed,Pelage,Handling_time,VIT,VIT_frequency,Mortality,Mortality_cause,Mortality_date,Censor,Censor_cause,Censor_date,Comments,data_comments
D3231,3231,3231,NA,New,NA,WTD,2024,1/17/2024 10:30,1/17/2024 10:30,NA,"MC, CV, AM",Touch of Nature,37.62134,-89.1606,Clover,Female,Yearling,88255,151.55,420,HDOP,3231,Grey,3232,Grey,NA,4,39,57,132,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"scratches on nose; sunny, windy, cold",
D1420,1420,3121,NA,Recap,NA,WTD,2024,1/18/2024 17:18,1/18/2024 17:18,3/4/2024,"CV, TK, AM, HR",Touch of Nature,37.6309,-89.1555,Drop,Male,YoungofYear,150956,151.145,330,HDOP,3121,Grey,3122,Grey,NA,3,37,75,115,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead battery,NA,Removed fawn collar(115304;149.383); cloudy no wind,
D3177,3177,3177,NA,New,NA,WTD,2024,1/20/2024 7:48,1/20/2024 7:48,NA,"ES, AS, EW, JS",Shelbyville,39.53972,-88.6312,Clover,Female,Adult,155205,150.21,420,HDOP,3177,Grey,3178,Grey,NA,4,43.9,93,142,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VIT 20658 not inserted (lube frozen),
D3125,3125,3125,NA,New,NA,WTD,2024,1/20/2024 9:17,1/20/2024 9:17,NA,"CV, TK, AM",Touch of Nature,37.62753,-89.1536,Clover,Male,Yearling,152275,150.11,500+,PDOP,3125,Grey,3126,Grey,NA,3.5,38.5,72.5,127,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"twitchy during workup, tail wagging",
D3185,3185,3185,NA,New,NA,WTD,2024,1/20/2024 10:48,1/20/2024 10:48,NA,"EJ, JS, AS, EW",Shelbyville,39.57036,-88.7114,Clover,Male,YoungofYear,152272,150.08,500+,PDOP,3185,Grey,3186,Grey,NA,4,40.1,86.5,127,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
D3115,3115,3115,NA,New,NA,WTD,2024,1/21/2024 9:13,1/21/2024 9:13,NA,"KC, MC, TK",Touch of Nature,37.61489,-89.1662,Clover,Female,Adult,155231,150.47,420+,PDOP,3115,Grey,3116,Grey,1 tick,3,42,89,151,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20659,150.69,NA,NA,NA,NA,NA,NA,"previously collected-ear tags ripped out; cold, cloudy",get data from download
D3131,3131,3131,NA,New,NA,WTD,2024,1/22/2024 8:55,1/22/2024 8:55,NA,"KC, TK",Touch of Nature,37.62663,-89.1602,Clover,Male,Adult,152278,150.14,500+,PDOP,3131,Grey,3132,Grey,NA,4,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,buck running hot and stressed,
D3189,3189,3189,NA,New,NA,WTD,2024,1/22/2024 9:57,1/22/2024 9:57,NA,"JS, EJ,EW, HT",Shelbyville,39.44444,-88.7742,Clover,Male,YoungofYear,152271,150.07,500+,PDOP,3189,Grey,3190,Grey,None,3,41,80,128,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
D3193,3193,3193,NA,New,NA,WTD,2024,1/22/2024 11:38,1/22/2024 11:38,NA,"JS, EW, EJ, HT",Shelbyville,39.44309,-88.7728,Clover,Female,Yearling,155219,150.35,420+,PDOP,3193,Grey,3194,Grey,NA,4,40.5,91,147,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20650,150.6,NA,NA,NA,NA,NA,NA,"No blood sample, ran very cold, don't believe thermometer temperatures",
D3221,3221,3221,NA,New,NA,WTD,2024,1/24/2024 9:51,1/24/2024 9:51,NA,"MC, TK, CV",Touch of Nature,37.6356,-89.175,Clover,Female,Adult,155237,150.53,420+,PDOP,3221,Grey,3222,Grey,NA,3,40,87,146,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20671,150.81,NA,NA,NA,NA,NA,NA,"rain, wind 7-10mph",
